,Tokens,yomi,pos,difficulty,wtype,KNOW,WRITE,READ,SPEAK,LISTEN
9126,通訳,ツウヤク,名詞,lower intermediate,Chinese,1.94941207653825,0.253248319003499,0.776140688802464,0.498309407210027,0.747399631047533
9193,造る,ツクル,動詞1類,lower intermediate,native Jap.,1.7097553668332,0.381603198009085,0.800751473719773,0.614154252294712,0.695932341321039
9206,都合,ツゴウ,名詞,lower intermediate,Chinese,1.94834397212363,1.11733629823975,1.38133283792194,1.35162233589358,1.44827172067038
9212,土,ツチ,名詞,lower intermediate,native Jap.,1.92568738843046,0.545706394826115,1.04210364347377,1.00490933894253,1.00514734235524
9215,続き,ツヅキ,名詞,lower intermediate,native Jap.,1.95736317818103,1.10527598918744,1.06142311745716,1.19794803908598,1.18147429155821
9224,包む,ツツム,動詞1類,lower intermediate,native Jap.,2.00344358203104,0.832993212243123,1.01573371796502,1.17236395925333,1.26101217411863
9235,勤める,ツトメル,動詞2類,lower intermediate,native Jap.,1.87237573400662,0.56426376318722,0.784160850311956,0.993494710131038,1.00355550350829
9238,ツナ,ツナ,名詞,lower intermediate,foreign,1.80659632494699,0.0982285185091198,0.584541759205473,0.81161699216484,0.783301399093692
9275,積む,ツム,動詞1類,lower intermediate,native Jap.,1.80863168647268,0.203439841110532,0.698346722695964,0.527325841090561,0.596000901462183
9288,梅雨,ツユ,名詞,lower intermediate,native Jap.,1.78045591849186,0.850878845296089,1.2120912709479,1.26562973955771,1.40239509388678
9292,強火,ツヨビ,名詞,lower intermediate,native Jap.,1.98738454311275,0.194142897697881,1.17009257284912,0.854820705696569,1.21098424899164
9301,釣り,ツリ,名詞,lower intermediate,native Jap.,1.74207803554253,0.615411760642691,0.955133270550286,0.759961022614176,1.06311484205584
9321,出会い,デアイ,名詞,lower intermediate,native Jap.,1.9571818330254,0.570052438231465,1.01292365406281,1.04610010785234,1.17269547140768
9323,手足,テアシ,名詞,lower intermediate,native Jap.,1.91027978288245,0.602035864920631,0.876293446642046,1.03238809467925,1.0608865782941
9326,手洗い,テアライ,名詞,lower intermediate,native Jap.,1.939479962593,0.877777317669096,1.1026427507113,1.31690799779611,1.20401370970978
9332,低下,テイカ,名詞,lower intermediate,Chinese,1.87449000047463,0.650704151677558,0.843760754765232,0.76210075063941,0.878919592127035
9336,定期,テイキ,名詞,lower intermediate,Chinese,1.83603343207864,0.425267124753721,0.805497802196647,0.959781386670132,0.88725191614422
9340,定期券,テイキケン,名詞,lower intermediate,Chinese,1.80712728276722,0.341124092926791,0.675311967727308,0.603279031645253,0.854891102551981
9342,定休,テイキュウ,名詞,lower intermediate,Chinese,1.6580442491075,0.357767785730678,0.565711489910629,0.635758606885732,0.650599917073805
9353,停止,テイシ,名詞,lower intermediate,Chinese,1.95449884039794,1.06950470923912,1.37697403060028,1.40873888025366,1.29321274212056
9365,定食,テイショク,名詞,lower intermediate,Chinese,1.84819580899201,0.570882596672332,0.760816047652239,0.983370979486502,1.16599589302276
9385,丁寧,テイネイ,名詞,lower intermediate,Chinese,1.80536885544146,1.07634756221977,1.32769873428021,1.32359923371432,1.36614002558875
9447,手首,テクビ,名詞,lower intermediate,native Jap.,1.8348973205487,0.725229453765483,1.21756591944385,1.11291371936998,1.12805895098245
9458,デジタル,デジタル,名詞,lower intermediate,foreign,1.89162753852336,0.758275182937272,1.31338734959806,0.97185075600879,1.32792683090461
9459,デジタルカメラ,デジタルカメラ,名詞,lower intermediate,foreign,1.62265227497392,0.383953378089385,0.876431005972725,0.463167300464516,0.605664281234866
9466,デスク,デスク,名詞,lower intermediate,foreign,1.8214205945451,0.391883869310209,0.726308691503483,0.6177789415276,0.776689760153037
9474,鉄,テツ,名詞,lower intermediate,Chinese,1.74041630176867,0.822835752076664,1.11434227847242,1.01531958246165,1.10313588566083
9494,手伝う,テツダウ,動詞1類,lower intermediate,native Jap.,1.84841532414384,1.1180470953721,1.22524769138663,1.31541440980047,1.4479978311293
9514,デニム,デニム,名詞,lower intermediate,foreign,1.64070257002675,0.303648453076221,0.737318414201012,0.621890228706516,0.682014093938802
9524,手袋,テブクロ,名詞,lower intermediate,native Jap.,1.72724539505089,0.623587652366493,0.700214114029443,0.930900025951589,0.954895572785445
9563,点,テン,名詞,lower intermediate,Chinese,1.88593181693088,1.02895665804843,1.26531405368416,1.16734363100832,1.23840486840954
9605,天才,テンサイ,名詞,lower intermediate,Chinese,2.06361050457391,0.422387022378621,1.0334024652663,0.821420424418489,1.13262460309912
9627,電子レンジ,デンシレンジ,名詞,lower intermediate,hybird,1.86069797711269,0.645110957049359,1.01129191052591,1.16429873929139,1.26232755254838
9630,点数,テンスウ,名詞,lower intermediate,Chinese,2.03980255526013,0.914154590208815,1.26056470394819,1.16016151232049,1.27936576160754
9642,電池,デンチ,名詞,lower intermediate,Chinese,1.91987611080684,0.567886112649612,1.04509814370263,1.19328672231614,1.18056777415482
9655,店内,テンナイ,名詞,lower intermediate,Chinese,1.85549165989423,0.765002121795494,1.00487099102365,1.15707510095819,1.24849628676491
9728,どうか,ドウカ,副詞,lower intermediate,native Jap.,1.64350283899593,0.932091851409358,1.09131770400474,1.08400176233326,1.0965928527972
9748,同級生,ドウキュウセイ,名詞,lower intermediate,Chinese,2.00650781801826,0.741656795846545,1.09161834026205,1.11889117993486,1.14127237461324
9776,同時,ドウジ,名詞,lower intermediate,Chinese,1.81315052996521,0.752311709369812,1.12799228311108,1.08861050785092,1.1948151240528
9782,同時に,ドウジニ,接続詞,lower intermediate,hybird,1.95605753998131,0.661253071070913,0.841948032219849,0.875553498509937,0.912594120947363
9850,豆腐,トウフ,名詞,lower intermediate,Chinese,1.93020526810598,0.529172871918435,0.792809164542121,1.30668035056703,1.20142400371754
9863,東北,トウホク,名詞,lower intermediate,Chinese,1.86714625838727,0.376020476041851,0.950241217510058,0.84623403572439,0.781325758849902
